pl_name,pl_orbper_yr,pl_orbsmax,pl_orbsmax_n,st_mass
Jovian,0.007873757700205338,0.04364,0.03276382655149014,1.42
Terrestrial,0.031831348391512665,0.1053,0.09746878150091429,1.15
Terrestrial,0.04703189596167009,0.1268,0.14905534240238819,0.9
Terrestrial,0.05808796714579055,0.16278,0.18560891029580234,1.41
Terrestrial,0.04783375222450377,0.1334,0.11567621817175763,1.03
Terrestrial,0.01132768076659822,0.048,0.04021620974707081,0.86
Jovian,0.0060741291444216285,0.03126,0.02806036203276181,0.79
Terrestrial,0.02431300643394935,0.0804,0.11518224994183046,0.81
Terrestrial,0.07824707186858317,0.1752,0.24134998746946704,0.81
Jovian,0.1050048925393566,0.2132,0.1935738936414728,0.81
Terrestrial,0.7775496235455167,0.812,1.1573566537267406,0.81
Jovian,0.009059433264887064,0.05208,0.041153746331409335,1.72
Terrestrial,0.0025355728952772072,0.018,0.01289717417061614,0.9
Terrestrial,0.04435909377138946,0.1163,0.1548246015224267,0.8
Jovian,0.009650235701574264,0.04707,0.04487991205293543,1.23
Terrestrial,0.008467969883641341,0.03876,0.033030165226161326,0.81
Terrestrial,0.018520410677618067,0.0653,0.07206762700753817,0.81
Jovian,0.01652585900068446,0.06356,0.08364936354168145,0.92
Jovian,0.03908747433264887,0.1228,0.1703318807546761,1.21
Terrestrial,0.04836984804928131,0.1162,0.08498089091511198,0.67
Terrestrial,0.08158108145106091,0.1646,0.20762402059333174,0.67
Terrestrial,0.010887446954140999,0.04298,0.04019865234293755,0.67
Terrestrial,0.021649664613278576,0.068,0.08874449824631726,0.67
Terrestrial,0.03329824476386037,0.0906,0.12417076896823782,0.67
Terrestrial,0.007582559890485969,0.02933,0.03499397051331929,0.44
Terrestrial,0.015621848049281312,0.04749,0.05865869903908171,0.44
Jovian,0.011298781656399725,0.0568,0.039800554667520874,1.43
Jovian,0.15334206707734427,0.308,0.4399209184033568,1.26
Jovian,0.230691279945243,0.411,0.3951027780695271,1.26
Terrestrial,0.0026273902258726898,0.01802,0.015176102902777815,0.85
Terrestrial,0.08171524928131416,0.1783,0.18760919837237966,0.85
Jovian,0.051230773442847356,0.1436,0.12987511866429105,1.13
Terrestrial,0.03925846954140999,0.1202,0.1017001056889298,1.13
Terrestrial,2.349075975359343,1.88,1.67811631514261,1.21
Terrestrial,0.017516884325804245,0.0604,0.060852002423669886,0.73
Terrestrial,0.05168991101984942,0.1242,0.14188306473511864,0.73
Terrestrial,0.30509705681040383,0.4565,0.6193618216965937,1.15
Terrestrial,0.0019700835044490074,0.0166,0.012244878574785428,1.18
Terrestrial,0.010908747433264887,0.049,0.061042600940767494,1.02
Jovian,0.032345790554414784,0.1066,0.13128249331709027,1.16
Terrestrial,0.00997984887063655,0.04813,0.06905624861278892,1.11
Terrestrial,0.15081998631074608,0.262,0.2989453171698517,0.83
Terrestrial,0.025981414373716632,0.0805,0.09051303174122852,0.85
Terrestrial,0.02497056810403833,0.0906,0.06723122639831178,0.81
Jovian,0.002685758795345654,0.01782,0.016339660880833842,0.78
Terrestrial,0.028169500342231348,0.089,0.12846019370067022,0.9
Terrestrial,0.05285256673511294,0.137,0.09712930410697879,0.92
Terrestrial,0.022633792744695416,0.0833,0.11529163742026802,1.05
Jovian,0.009073125256673512,0.0475,0.06663829848903402,1.3
Terrestrial,0.01296098288843258,0.0581,0.04938316856793173,1.17
Terrestrial,0.03795720739219713,0.1027,0.10840658537619074,0.75
Terrestrial,0.014652429842573578,0.057,0.040885172256396686,0.84
Terrestrial,0.01592795345653662,0.0642,0.044284340188329246,1.04
Terrestrial,0.031186669678302532,0.0943,0.06478376965577104,0.86
Jovian,0.05550339493497604,0.143,0.1715770805925641,0.95
Jovian,0.025120054757015745,0.0916,0.09435021786443669,1.08
Jovian,0.11490203969883642,0.23109,0.3316294835227175,0.94
Jovian,0.07770190006844627,0.1796,0.25875580738845244,0.96
Jovian,0.017985456536618753,0.068,0.0839654824751016,0.96
Terrestrial,0.000767486379192334,0.00716,0.007296535542212514,0.71
Terrestrial,0.09018377275838466,0.1429,0.20725649348317443,0.36
Terrestrial,0.024272829842573576,0.0734,0.062130076756660636,0.72
Jovian,0.021689801505817934,0.074,0.08642197111488005,0.88
Jovian,0.032578507871321015,0.0971,0.06824319020392992,0.88
Jovian,0.030577560574948665,0.10356,0.08364477412439675,1.19
Jovian,0.005969980533880904,0.03558,0.03864912309158939,1.26
Jovian,0.00877388090349076,0.046,0.05426067653183633,1.19
Jovian,0.05719307323750855,0.154,0.10729851317327077,1.07
Jovian,0.11591813826146476,0.247,0.24850507103029137,1.07
Terrestrial,0.009540216509240246,0.0287,0.04048244806548725,0.26
Jovian,0.0071914187542778925,0.0404,0.053564140922739964,1.39
Jovian,0.03185072689938399,0.1034,0.0803641007245596,1.09
Terrestrial,0.13913469404517453,0.2573,0.2031375743894441,0.88
Terrestrial,0.0064864394250513345,0.03376,0.02317488117874604,0.92
Terrestrial,0.018538850102669407,0.06702,0.058525951989748366,0.87
Terrestrial,0.009505119780971936,0.03817,0.037475674673973204,0.83
Terrestrial,0.019542910335386722,0.0824,0.05844490555024445,0.83
Jovian,0.04077560848733744,0.1206,0.11580806629699093,1.06
Jovian,0.008922196030116358,0.04217,0.06022963910664694,0.94
Jovian,0.13242121834360027,0.305,0.4173336078200507,1.19
Terrestrial,0.04649993155373033,0.13,0.1722061791847394,1.0
Jovian,0.01101948528405202,0.0451,0.04095291004893973,0.74
Terrestrial,0.027528065708418894,0.074,0.07664504037858949,0.6
Terrestrial,0.06747866392881588,0.1345,0.0937530695230933,0.6
Terrestrial,0.12198893908281999,0.2097,0.27839519968990956,0.6
Jovian,0.011221089664613278,0.04839,0.042726142730934204,0.9
Terrestrial,0.0034438056125941133,0.022,0.01918962481708099,0.91
Jovian,0.02461875427789186,0.0795,0.10154475668984315,0.83
Terrestrial,0.05656654346338125,0.13843,0.1349082140914634,0.83
Jovian,0.08683644079397672,0.18422,0.1906542465584777,0.83
Terrestrial,0.011907843942505133,0.04899,0.03826555902319369,0.83
Jovian,0.03410026694045174,0.1016,0.07115249815647864,0.9
Jovian,0.008201601095140315,0.0442,0.03702753110618703,1.16
Terrestrial,0.003894904859685147,0.0223,0.015691097383237807,0.79
Terrestrial,0.014622999863107462,0.05574,0.04203343767582207,0.81
Terrestrial,0.028914524298425736,0.09514,0.12039728329603211,1.03
Jovian,0.012608980150581794,0.05708,0.06052100501580218,0.66
Terrestrial,0.008220807665982204,0.045,0.06213526514473954,0.97
Terrestrial,0.013879890485968514,0.05983,0.06364279417543547,1.11
Jovian,0.023016361396303902,0.086,0.1142130601199157,1.2
Terrestrial,0.027752082135523614,0.0974,0.12398184550983131,1.2
Jovian,0.04997121149897331,0.1597,0.15505692309102054,1.63
Jovian,0.011406636276522929,0.0525,0.052844557669261716,1.11
Jovian,0.012966735112936346,0.06229,0.04402694552018163,1.44
Jovian,0.013775832991101983,0.06708,0.07626833268803633,1.59
Jovian,0.004681879808350445,0.03005,0.023309692913940732,1.24
Jovian,0.009115509924709103,0.04613,0.04157541836651547,2.06
Jovian,0.002652963997262149,0.02044,0.017613547298895464,1.21
Jovian,0.008433050239561944,0.04881,0.06756369665004458,1.64
Jovian,0.007862427926078028,0.0455,0.045630891767245496,1.52
Jovian,0.012626171937029432,0.0637,0.04522734885014765,1.62
Jovian,0.011262943189596166,0.05497,0.06746125840033422,1.54
Jovian,0.009511590691307322,0.0542,0.05220975371071753,1.76
Jovian,0.006174540725530458,0.03302,0.0411270821558952,0.94
Terrestrial,0.015199158384668036,0.06969,0.05487078300529227,1.46
Jovian,0.007401478439425051,0.04123,0.05247678597071184,1.96
Jovian,0.008185060095824776,0.04317,0.035118751169967925,1.2
Jovian,0.021480355920602327,0.07939,0.0799188579734776,1.42
Jovian,0.007487392197125257,0.04415,0.03667402561173076,1.76
Jovian,0.008881752224503764,0.0455,0.032497404183495504,0.81
Jovian,0.0040550951403148525,0.03462,0.03345029506824938,2.52
Jovian,0.04888482409308692,0.154,0.1291126114293848,1.5
Terrestrial,0.23722836687200546,0.382,0.28257124374717646,0.99
Terrestrial,0.004828440793976728,0.03641,0.03791816207163589,1.72
Terrestrial,0.02988766598220397,0.098,0.07254632119706214,0.99
Jovian,0.060958028747433265,0.15525,0.2027294331020464,0.99
Terrestrial,0.3866986201232033,0.534,0.4651776626118939,1.01
Jovian,0.028538392881587955,0.1013,0.1030871550374723,1.28
Jovian,0.06117177002053388,0.1684,0.14976427979388543,1.28
Jovian,0.14872090349075975,0.3046,0.3382072555350304,1.28
Terrestrial,0.00467157015742642,0.0269,0.021136633865120998,0.89
Terrestrial,0.0022929253935660508,0.0172,0.011961672971154918,0.91
Terrestrial,0.12400985626283369,0.241,0.17395646257251393,1.02
Terrestrial,0.03508802190280629,0.109,0.12499544025551382,1.08
Terrestrial,0.09673675564681725,0.2143,0.2756387551728866,1.08
Terrestrial,0.009548750718685831,0.0474,0.0623258996635432,1.17
Terrestrial,0.04420451745379877,0.1162,0.15425708819609937,0.8
Terrestrial,0.03715482546201232,0.1096,0.0829044492371306,1.0
Terrestrial,0.1200396988364134,0.2395,0.168999566965481,1.0
Terrestrial,0.008706425188227241,0.04544,0.035906871027859354,1.24
Terrestrial,0.04038095277207392,0.12639,0.09846110101836487,1.24
Terrestrial,0.01774573579739904,0.0683,0.06915713364754729,1.04
Terrestrial,0.058104585900068444,0.1506,0.1941769350844804,1.04
Terrestrial,0.028210540725530458,0.091,0.10127591520956483,0.96
Jovian,0.0356580424366872,0.107,0.14860092944620681,0.96
Terrestrial,0.06210677618069815,0.155,0.18952683334139223,0.96
Jovian,0.08761013004791239,0.195,0.25836619838400704,0.96
Jovian,0.12782696783025324,0.25,0.24507494404978197,0.96
Terrestrial,0.32410869267624914,0.466,0.5623479873890092,0.96
Terrestrial,0.024435509924709102,0.0763,0.0861756523060158,0.75
Terrestrial,0.13905651197809718,0.2804,0.3187826453195974,1.13
Jovian,0.012150480219028061,0.0553,0.039056295964924354,1.17
Terrestrial,0.043230663928815874,0.13,0.16156698568533426,1.18
Terrestrial,0.04405749486652977,0.1238,0.10315348687651231,1.02
Terrestrial,0.018590343600273784,0.0771,0.08052117178189852,1.51
Jovian,0.013532599589322382,0.05714,0.074399166548467,1.02
Terrestrial,0.5963910746064339,0.753,1.0012050783737336,1.2
Jovian,0.6263545516769337,0.7048,0.6170588990963435,0.69
Terrestrial,0.03250617029431896,0.103,0.10427760763063579,1.03
Terrestrial,0.08641204654346338,0.1974,0.14798143178564668,1.03
Terrestrial,0.010539008295687885,0.0544,0.03735610337063845,1.45
Terrestrial,2.932873511293635,1.883,2.0750664050534104,0.78
Terrestrial,0.004067654483230664,0.02591,0.027681297198452883,1.04
Terrestrial,2.7074089527720737,2.027,1.9903308927124501,1.13
Terrestrial,0.009595414099931554,0.0447,0.0527740501908862,0.97
Jovian,0.020921533196440793,0.0752,0.060639491046749906,0.97
Jovian,0.04068139630390143,0.1172,0.09403561677258566,0.97
Terrestrial,0.025426858316221764,0.0835,0.07323661576802594,0.94
Terrestrial,0.02971688128678987,0.0949,0.10691140778411434,0.95
Terrestrial,0.2124881592607803,0.3506,0.34003903832205246,0.95
Terrestrial,0.007627049965776865,0.042717,0.055074359363955626,1.41
Terrestrial,0.017079526351813826,0.0685,0.054342563006205304,1.17
Jovian,0.03482737850787132,0.1101,0.15703690728898353,1.17
Jovian,0.7907515400410677,1.0896,1.417241809882782,1.05
Jovian,0.35991238877481174,0.60347,0.4962902811982595,0.89
Terrestrial,0.008797973990417523,0.0456,0.03520245925697426,1.22
Terrestrial,0.01881859000684463,0.08,0.06662735342750903,1.48
Jovian,0.0050802414784394245,0.03101,0.03331065336016856,1.15
Jovian,0.004711459000684463,0.02897,0.023609459226399888,1.17
Terrestrial,0.1814154688569473,0.3553,0.41236052887905567,0.82
Jovian,0.23731296372347707,0.3779,0.4718382100484413,0.98
Terrestrial,0.19097768651608485,0.37,0.45303484898498336,1.39
Jovian,0.021605607939767284,0.082,0.10738746803462466,1.15
Jovian,0.007349290896646132,0.03585,0.051412733169037855,0.85
Terrestrial,0.009067390554414785,0.044,0.03510017261760021,1.01
Jovian,0.010395669158110882,0.0464,0.04991082524351029,0.93
Jovian,0.008809086461327857,0.0414,0.05355159861693835,0.91
Jovian,0.02817520602327173,0.091,0.07718612997719548,0.96
Terrestrial,0.00965265582477755,0.0433,0.06255904077039533,0.87
Terrestrial,0.008279520602327173,0.046,0.056270329487015144,1.32
Terrestrial,0.143740257357974,0.301,0.27125700019202437,1.32
Jovian,0.01460392563997262,0.0679,0.05093629927552679,1.46
Terrestrial,0.03524903463381245,0.1143,0.12537242420686656,1.2
Jovian,0.023545937303216975,0.0948,0.08767994047940965,1.54
Jovian,0.008889060369609857,0.0446,0.046094634006878875,1.12
Terrestrial,0.008170160164271047,0.0217,0.0248167053459792,0.18
Terrestrial,0.013336698151950717,0.0301,0.03865983766901998,0.18
Terrestrial,0.022321013004791238,0.0439,0.04949860774810028,0.18
Terrestrial,0.004285856262833676,0.0182,0.018958038604467008,0.22
Terrestrial,0.008312605065023957,0.0283,0.03460101386729503,0.22
Terrestrial,0.014096977412731006,0.0403,0.02973522177840065,0.22
Jovian,0.021339634004106774,0.0769,0.09296920170267235,1.0
Jovian,0.0067220780287474335,0.03,0.020852181907970814,0.59
Jovian,0.6584613278576317,0.7903,1.0111883604364564,0.94
Terrestrial,0.02893908281998631,0.0954,0.0953613569525366,0.85
Jovian,0.1354258726899384,0.2877,0.41235043298864943,0.96
Jovian,0.8301902806297056,0.9638,1.184743955010031,0.96
Terrestrial,0.013081451060917178,0.0528,0.07648584872431917,0.88
Terrestrial,0.02648583162217659,0.0845,0.10858899885629529,0.88
Terrestrial,0.11744312114989731,0.2279,0.1718415846324513,0.88
Jovian,0.009715169609856262,0.0538,0.06183391456183333,1.37
Terrestrial,0.22378584531143053,0.4669,0.46918861524288963,0.89
Terrestrial,0.34396284736481864,0.4988,0.3781124138491522,1.05
Jovian,0.008856124845995893,0.04852,0.04145380152782655,1.21
Terrestrial,0.025829296372347706,0.08,0.10062166542691835,0.98
Terrestrial,0.044733459986310745,0.126,0.09133121861952043,1.0
Terrestrial,0.005899822039698837,0.035,0.0428849095541394,1.25
Terrestrial,0.016043652292950034,0.068,0.092617080408276,1.25
Terrestrial,0.022262094455852158,0.084,0.062075840917772254,1.25
