pl_rade,log_pl_orbper,st_teff,pl_class
16.589,0.5857967546885313,6570.0,Jovian
18.282,0.6807688028790949,6212.0,Jovian
10.077,0.2792819506795334,5587.0,Terrestrial
12.027,0.4224787900475499,5629.0,Jovian
12.543,0.5286246739930626,5400.0,Jovian
19.089,0.6028444867808619,6457.0,Jovian
21.185,0.415883610007074,5835.0,Jovian
17.822,0.4730613719744967,6002.0,Jovian
23.371,0.6821543309913157,6406.0,Jovian
12.016,0.361426654125436,4508.0,Jovian
18.786,0.6800588096196855,7394.0,Jovian
16.926,0.3433573814578117,6389.0,Jovian
15.693,0.488034332418008,6200.0,Jovian
15.614,0.5935973534411081,6350.0,Jovian
14.594,0.537373116377378,5870.0,Jovian
10.862,0.5202012478636374,5880.0,Jovian
18.03,0.5586111432745328,6563.0,Jovian
7.76,0.497303201923915,6357.0,BrownDwarf
13.585,0.483451767387964,5523.0,Jovian
11.646,0.4419721318783178,5346.0,Jovian
12.386,0.2424140853210024,5311.0,Terrestrial
14.572,0.4291871682207896,5738.0,Terrestrial
8.709,1.2109765805639228,5846.0,Terrestrial
14.897,-0.0768389094742151,5600.0,Jovian
13.092,0.1316613219040828,5227.0,Jovian
10.682,0.6742006948329067,4803.0,Terrestrial
20.849,0.3345574064812958,5780.0,Jovian
15.637,0.1298502422619248,6125.0,Jovian
14.123,0.6333313988965189,5715.0,Jovian
19.616,0.5188281106542046,6071.0,Jovian
16.814,0.6662406549043641,6438.0,Jovian
13.384,0.5025743317866028,5498.0,Jovian
14.022,0.6633121379318357,5670.0,Jovian
15.48,0.5499653723669596,6351.0,Jovian
13.171,0.5016550287461454,5943.0,Jovian
18.383,0.5286545025819024,6050.0,Jovian
14.0,0.4491164340299007,5700.0,Jovian
13.787,0.4064644022095022,5659.0,Jovian
16.029,0.3234915047700014,5380.0,Jovian
16.41,0.2603097788502765,6300.0,Jovian
12.92,0.6206758275978973,5950.0,Terrestrial
6.793,0.6366419883900817,5326.0,Jovian
6.882,0.6409801419668422,5732.0,Jovian
17.598,0.6606411420582082,6572.0,Jovian
11.433,0.4008364534740796,5403.0,Terrestrial
17.71,0.5137865526524261,6460.0,Jovian
14.908,0.6225920780744083,6424.0,Terrestrial
15.693,0.3602339401066499,6060.0,Jovian
13.227,0.6423507083049168,5099.0,Jovian
11.96,0.4383683429984708,5080.0,Jovian
14.415,0.6219677216403818,6450.0,Jovian
10.122,0.6759957002210412,5495.0,Jovian
12.52,0.5935965873270435,4512.0,Jovian
8.967,0.4957755204716561,4546.0,Jovian
8.575,0.6178436371668916,4405.0,Jovian
