pl_rade,log_pl_orbper,st_teff,pl_class,pl_class2
14.493,0.6251094377426829,5449.0,Jovian,Jovian
11.31,0.43990011170450233,5131.0,Jovian,Jovian
14.773,0.29261578849937286,5956.0,Jovian,Jovian
10.581,0.5797661101974809,4390.0,Jovian,Jovian
13.249,0.5545190447353241,5808.0,Jovian,Jovian
16.926,0.4457333827765165,6566.0,Jovian,Jovian
19.504,0.3918697757093613,6330.0,Jovian,Jovian
14.93,0.6035598293978439,6078.0,Jovian,Jovian
12.588,0.6172076934538296,5678.0,Terrestrial,Jovian
16.589,0.5857967546885313,6570.0,Jovian,Jovian
18.282,0.6807688028790949,6212.0,Jovian,Jovian
10.077,0.2792819506795334,5587.0,Terrestrial,Jovian
12.027,0.42247879004754996,5629.0,Jovian,Jovian
12.543,0.5286246739930626,5400.0,Jovian,Jovian
19.089,0.6028444867808619,6457.0,Jovian,Jovian
21.185,0.415883610007074,5835.0,Jovian,Jovian
17.822,0.4730613719744967,6002.0,Jovian,Jovian
23.371,0.6821543309913157,6406.0,Jovian,Jovian
12.016,0.361426654125436,4508.0,Jovian,Jovian
18.786,0.6800588096196855,7394.0,Jovian,Jovian
16.926,0.3433573814578117,6389.0,Jovian,Jovian
15.693,0.488034332418008,6200.0,Jovian,Jovian
15.614,0.5935973534411081,6350.0,Jovian,Jovian
14.594,0.537373116377378,5870.0,Jovian,Jovian
10.862,0.5202012478636374,5880.0,Jovian,Jovian
18.03,0.5586111432745328,6563.0,Jovian,Jovian
7.76,0.497303201923915,6357.0,BrownDwarf,Jovian
13.585,0.483451767387964,5523.0,Jovian,Jovian
11.646,0.44197213187831785,5346.0,Jovian,Jovian
12.386,0.24241408532100242,5311.0,Terrestrial,Jovian
14.572,0.4291871682207896,5738.0,Terrestrial,Jovian
8.709,1.2109765805639228,5846.0,Terrestrial,Jovian
14.897,-0.07683890947421514,5600.0,Jovian,Jovian
13.092,0.1316613219040828,5227.0,Jovian,Jovian
10.682,0.6742006948329067,4803.0,Terrestrial,Jovian
20.849,0.3345574064812958,5780.0,Jovian,Jovian
15.637,0.12985024226192482,6125.0,Jovian,Jovian
14.123,0.6333313988965189,5715.0,Jovian,Jovian
19.616,0.5188281106542046,6071.0,Jovian,Jovian
16.814,0.6662406549043641,6438.0,Jovian,Jovian
13.384,0.5025743317866028,5498.0,Jovian,Jovian
14.022,0.6633121379318357,5670.0,Jovian,Jovian
15.48,0.5499653723669596,6351.0,Jovian,Jovian
13.171,0.5016550287461454,5943.0,Jovian,Jovian
18.383,0.5286545025819024,6050.0,Jovian,Jovian
14.0,0.44911643402990076,5700.0,Jovian,Jovian
13.787,0.40646440220950225,5659.0,Jovian,Jovian
16.029,0.3234915047700014,5380.0,Jovian,Jovian
16.41,0.26030977885027656,6300.0,Jovian,Jovian
12.92,0.6206758275978973,5950.0,Terrestrial,Jovian
