Artist,Song,Lyrics,Year
Dwight Yoakam,"Guitars, Cadillacs","Girl you taught me how to hurt real bad and cry myself to sleep
You showed me how this town can shatter dreams
Another lesson about a naive fool that came to Babylon
And found out that the pie don't taste so sweet
Now it's guitars, Cadillacs, hillbilly music
Lonely, lonely streets that I call home
Yeah my guitars, Cadillacs, hillbilly music
Is the only thing that keeps me hanging on
There ain't no glamour in this tinseled land of lost and wasted lives
And painful scars are all that's left of me
Oh but thank you girl for teaching me brand new ways to be cruel
If I can find my mind now, I guess I'll just leave
And it's guitars, Cadillacs, hillbilly music
Lonely, lonely streets that I call home
Yeah my guitars, Cadillacs, hillbilly music
Is the only thing that keeps me hanging on
Oh it's guitars, Cadillacs, hillbilly music
Lonely, lonely streets that I call home
Yeah my guitars, Cadillacs, hillbilly music
Is the only thing that keeps me hanging on
It's the only thing that keeps me hanging on
It's the only thing that keeps me hanging on",1986
George Strait,Amarillo By Morning,"Amarillo by morning, up from San Antone
Everything that I've got is just what I've got on
When that sun is high in that Texas sky
I'll be bucking at the county fair
Amarillo by morning, Amarillo I'll be there

They took my saddle in Houston, broke my leg in Santa Fe
Lost my wife and a girlfriend somewhere along the way
Well I'll be looking for eight when they pull that gate
And I hope that judge ain't blind
Amarillo by morning, Amarillo's on my mind

Amarillo by morning, up from San Antone
Everything that I've got is just what I've got on
I ain't got a dime, but what I got is mine
I ain't rich, but Lord I'm free
Amarillo by morning, Amarillo's where I'll be
Amarillo by morning, Amarillo's where I'll be ",1982
Alan Jackson,Don't Rock The Jukebox,"Don't rock the jukebox
I wanna hear some Jones
My heart ain't ready
For the Rolling Stones
I don't feel like rockin'
Since my baby's gone
So don't rock the jukebox
Play me a country song

Before you drop that quarter
Keep one thing in mind
You got a heartbroke hillbilly
Standing here in line
I've been down and lonely
Ever since she left
Before you punch that number
Could I make one request

Don't rock the jukebox
I wanna hear some Jones
My heart ain't ready
For the Rolling Stones
I don't feel like rockin'
Since my baby's gone
So don't rock the jukebox
Play me a country song

I ain't got nothin'
Against rock & roll
But when your heart's been broken
You need a song that's slow
Ain't nothin' like a steel guitar
To drown a memory
Before you spend your money baby
Play a song for me

Don't rock the jukebox
I wanna hear George Jones
My heart ain't ready
For the Rolling Stones
I don't feel like rockin'
Since my baby's gone
So don't rock the jukebox
Play me a country song
Ya don't rock the jukebox
Play me a country song",1991
Vince Gill,Don't Let Our Love Start Slippin' Away,"We've been up
All night long
Trying to solve a problem
Hell it's almost dawn
Ain't no time for sleepin'
If our love is wearin' thin
'Cause I ain't givin' up
And you ain't givin' in

Don't let our love start slippin'
Love start slippin' away
'Cause the life we've been livin'
Gets harder everyday
Don't let our love start slippin'
Love start slippin' away

A wounded love
Walks a real thin line
And no communication
Will kill it every time
So open up your heart
Baby we can work it out
'Cause we've got the kind of love
People dream about

Don't let our love start slippin'
Love start slippin' away
'Cause the life we've been livin'
Gets harder everyday
Don't let our love start slippin'
Love start slippin' away

It's past the point of right or wrong
Let's find a way to just hold on",1992
Patty Loveless,Blame It On Your Heart,"You've got a thing or two to learn about me baby
'Cause I ain't taking it no more and I don't mean maybe
You don't know right from wrong
Well the love we had is gone
So blame it on your lying, cheating, cold deadbeating,
Two-timing, double dealing
Mean mistreating, loving heart

Well all I wanted was to be your one and only
And all I ever got from you was being lonely
Now that dream is laid to rest
'Cause you have failed the test
Hey blame it on your lying, cheating, cold deadbeating,
Two-timing, double dealing
Mean mistreating, loving heart

Are you headed for a heartache, oh yeah
Gonna get a bad break, oh yeah
You made a bad mistake, oh yeah
Well, you're never gonna find another love like mine
Someone's gonna do you like you done me honey
And when she does you like she'll do you, it ain't funny
You need some sympathy
But don't be calling me
Hey blame it on your lying, cheating, cold deadbeating
Two-timing, double dealing
Mean mistreating, loving heart

Are you headed for a heartache, oh yeah
Gonna get a bad break, oh yeah
You made a bad mistake, oh yeah
Well, you're never gonna find another love like mine
Someone's gonna do you like you done me honey
And when she does you like she'll do you, it ain't funny
You need some sympathy
But don't be calling me
Hey blame it on your lying, cheating, cold deadbeating
Two-timing, double dealing
Mean mistreating, loving heart

Hey blame it on your lying, cheating, cold deadbeating, two-timing, double dealing
Mean mistreating, loving heart ",1993
The Chicks,There's Your Trouble,"Should've been different, but it wasn't different was it
Same old story and Dear John and so long
It should have fit like a glove
It should've fit like a ring, like a diamond ring
A token of a true love
Should've all worked out but it didn't
She should be here now but she isn't
There's your trouble, there's your trouble
Keep seein' double with the wrong one
And you can see I love you, you can't see she doesn't
But you just keep holding on
There's your trouble
So now you're thinkin' bout all you're missin'
How deep you're sinkin' round and round and draggin' down
Why don't you cash in your chips
Why don't you call it a loss, not such a big loss
Chalk it up for better luck
Could have been true love, but it wasn't
It should all add up, but it doesn't
There's your trouble, there's your trouble
Keep seein' double with the wrong one
And you can see I love you, you can't see she doesn't
But you just keep holding on
There's your trouble
Should have all worked out but it didn't
She should be here now but she isn't
There's your trouble, there's your trouble
Keep seein' double with the wrong one
And you can see I love you, you can't see she doesn't
But you just keep holding on
There's your trouble
There's your trouble
There's your trouble
There's your trouble
There is your trouble",1998
Toby Keith,"Courtesy of the Red, White and Blue (The Angry American)","American girls and American guys
We'll always stand up and salute
We'll always recognize
When we see Old Glory flying
There's a lot of men dead
So we can sleep in peace at night when we lay down our head
My daddy served in the army
Where he lost his right eye but he flew a flag out in our yard
Until the day that he died
He wanted my mother, my brother, my sister and me
To grow up and live happy
In the land of the free
Now this nation that I love has fallen under attack
A mighty sucker punch came flyin' in from somewhere in the back
Soon as we could see clearly
Through our big black eye
Man, we lit up your world
Like the fourth of July
Hey Uncle Sam, put your name at the top of his list
And the Statue of Liberty started shakin' her fist
And the eagle will fly man, it's gonna be hell
When you hear mother freedom start ringin' her bell
And it feels like the whole wide world is raining down on you
Brought to you courtesy of the red white and blue
Justice will be served and the battle will rage
This big dog will fight when you rattle his cage
And you'll be sorry that you messed with
The U.S. of A.
'Cause we'll put a boot in your ass
It's the American way
Hey uncle sam put your name at the top of his list
And the Statue of Liberty started shakin' her fist
And the eagle will fly it's gonna be hell
When you hear mother freedom start ringin' her bell
And it feels like the whole wide world is raining down on you
Brought to you courtesy of the red white and blue
Oh oh of the red, white and blue
Oh oh of my red, white and blue",2002
Florida Georgia Line featuring HARDY,Y'all Boys,"Well there's those boys, got the kinda ride
Get 55 to the gallon
They listen to that new school
Never heard of George or Alan
There's those boys wear the kinda boots
Who you ain't suppose to get muddy
Ain't got a dog that lives outside
Ain't got a buddy named Buddy
Yeah I ain't hating on them boys
Grew up lockin' their doors
There's all kinds of boys up under the sun, son
But this one's for
Y'all boys with that southern drawl boys
Hell before you know, rollin' off just right
Man that town is small boys
But you'd have a ball boys
Homemade alcohol on a Saturday night
Yeah, truck stuck, who you gon' call?
Pretty girl, who you gon' fall for?
One of them backroad runners
Man, I'm glad I'm one of
Y'all boys
(Yo Hardy
Go on tell 'em 'bout the girls one time)
Cause there's those girls, they're like golden pearls
Dipping in to trust fund money (cha-ching)
Yeah, the radio and the Jack and Coke
Is the only thing they know country
Didn't grow up on no county round
They grew up on some street
And they think they know what kind of man
They want until they meet
Y'all boys with that southern drawl boys
Hell before you know, rollin' off just right
Man, that town is small boys
But you'd have a ball boys
Homemade alcohol on a Saturday night
Yeah, truck stuck, who you gon' call?
Pretty girl, who you gon' fall for?
One of them backroad runners
Man, I'm glad I'm one of
Y'all boys
State trophy in the hall boys
Hanging somethin' that you hunted on the wall boys
You mess with one of us
You get us all boys
Yeah all of y'all boys with that southern drawl boys
Hell before you naw, rollin' off just right
Man that town is small boys
But you'd have a ball boys
Homemade alcohol on a Saturday night
Yeah, truck stuck, who you gon' call?
Pretty girl who you gon' fall for?
One of them backroad runners
Man, I'm glad I'm one of
Y'all boys",2019
Rascal Flatts,Fast Cars and Freedom,"Starin' at you takin' off your makeup
Wondering why you even put it on
I know you think you do, but baby, you don't need it
Wish that you could see what I see when it's gone
I see a dust trail following an old red Nova
Baby blue eyes, your head on my shoulder
Wait, baby, don't move, right there it is
A t-shirt hanging off a dogwood branch
That river was cold but we gave love a chance
Yeah, to me
You don't look a day over fast cars and freedom
That sunset river bank, first time feeling, oh
Yeah, smile and shake your head
As if you don't believe me
I'll just sit right here and let you take me back
I'm on that gravel road, look at me
On my way to pick you up
You're standing on the front porch
Looking just like that, remember that (oh, just like that)
I see a dust trail following an old red Nova
Baby blue eyes, your head on my shoulder
Wait, baby, don't move, right there it is
A t-shirt hanging off a dogwood branch
That river was cold but we gave love a chance
Yeah, to me
You don't look a day over fast cars and freedom
That sunset river bank, first time feeling, yeah, yeah
I see a dust trail following an old red Nova
Baby blue eyes, your head on my shoulder
You don't look a day over fast cars and freedom
That sunset river bank, first-time feeling
I see a dust trail following an old red Nova (no, no, no)
Baby, blue eyes, your head on my shoulder
You don't look a day over fast cars and freedom, oh
(T-shirt hanging off a dogwood branch) that sunset, on that river bank
That river was cold but we gave love a chance, oh
That first time feeling, yeah, yeah
You don't look a day over fast cars and freedom
That sunset river bank first time feeling",2005
Billy Currington,People Are Crazy,"This old man and me
We're at the bar and we
We're havin' us some beers and
Swappin' I don't cares
Talkin' politics
Blonde and redhead chicks
Old dogs and new tricks and
Habits we ain't kicked
We talked about Gods grace
And all the hell we raised
Then I heard the old man say
God is great, beer is good
And people are crazy
He said I fought two wars
Been married and divorced
What brings you to Ohio?
He said, damn if I know
We talked an hour or two
About every girl we knew
What all we put 'em through
Like two old boys will do
We pondered life and death
He lit a cigarette
He said, these damn things will kill me yet
But God is great, beer is good
And people are crazy
Last call it's 2:00 a.m.
I said goodbye to him
I never talked to him again
Then one sunny day
I saw the old man's face
Front page obituary
He was a millionaire he
He left his fortune to
Some guy he barely knew
His kids were mad as hell
Huh, but me, I'm doing well
And I drop by today
To just say thanks and pray
And I left a six-pack right there on his grave
And I said
God is great, beer is good
And people are crazy
God is great, beer is good
And people are crazy
God is great, beer is good
And people are crazy",2008
Luke Bryan,"Huntin’, Fishin’ and Lovin’ Every Day","… Whoa, whoa, mmm
… If I could make a livin' walkin' in the woods
You could bet I'd be sittin' pretty good
High on a hill lookin' at a field downwind
If I could make a nickel off a turning 'em bass
Never worry about the price of gas
I'd be wheelin' and dealin' and sittin' there reelin' 'em in
… A huntin', fishin', and lovin' every day
That's the prayer that a country boy prays
Thank God He made me this way
Huntin' and fishin' and lovin' every day
Early in the mornin' and late in the evenin'
I'm gettin' red dirt rich and Flint River pay
Huntin' and fishin' and lovin' every day
… I'd get a little farm pond buzz
Sound of gravel when I back it up
And pullin' the string on a nine point nine two-stroke
Murphy
I love it when my baby wants to roll with me
Throws her boots on, climbs in a tree
Tuckin' her hair in my hat and she's ready to go
… And we'd get to huntin', fishin' and lovin' every day
That's the prayer that a country boy prays
Thank God He made me this way
Huntin', fishin' and lovin' every day
Early in the mornin' and late in the evenin'
I'm gettin' red dirt rich, Flint River pay
Huntin' and fishin' and lovin' every day
… So, while y'all are up there
Breathin' in that dirty air
I'll be down here knee-deep in the Muckalee, uhm
… Huntin', Fishin', Lovin' everyday
I wanna see them tall pines sway
Y'all close them eyes
And let's go there in our minds
… Huntin', fishin', and lovin' every day
That's the prayer this country boy prays
Thank God He made me this way
Huntin', fishin' and lovin' every day
Black coffee in the mornin' and dark whiskey in the evenin'
I get red dirt rich and Flint River pay
Huntin', fishin' and lovin' every day, woo
… Come on
… Won't you come along with me?
Won't you come along with me?
I know you'll wanna see
Huntin' and fishin' and lovin' every day, yeah",2015
Jana Kramer,Why Ya Wanna,"Out of all of the places in this little town
Yeah, you had to come walking in here and sit down
I'm hiding and hoping my face ain't too red
Since we been over, been trying like crazy to get you out of my head
So-o-o
Why you wanna
Show up in a old t-shirt that I love
Why you gotta tell me that I'm looking good
Don't know what
You were thinkin'
You were doing
Moving in for a hug
Like you don't know I'm coming unglued
Why you gotta
Why you wanna
Make me keep wanting you
I wish you had on sunglasses to cover up those blue eyes
I wish you said something mean maybe glad that you said goodbye
Why can't you look off somewhere if you catch me staring at you
Why can't you be cold like any old good ex would do
So-o-o
Why you wanna
Show up in a old t-shirt that I love
Why you gotta tell me that I'm looking good
Don't know what
You were thinkin'
You were doing
Moving in for a hug
Like you don't know I'm coming unglued
Why you gotta
Why you wanna
Make me keep wanting you
Keep wanting you
Why
Why
Why
Would you tell me that you call me up sometime?
Maybe we can get a drink and just catch up
Like that'd be enough
No, that ain't enough
Why you gotta
Show up in a old t-shirt that I love
Why you gotta tell me that I'm looking good
Don't know what
You were thinkin'
You were doing
Moving in for a hug
Like you don't know I'm coming unglued
Why you gotta
Why you wanna
Make me keep wanting you
Why you gotta
Why you wanna
Make me keep wanting you
Why you gotta
Why you wanna
Make me keep wanting you
Out of all of the places
In this little town
Yeah, you had to come walking in here and sit down",2012
Morgan Wallen,Chasin You,"We used to chase that Chattanooga fray
Couple a kids in a Chevrolet
Catch a little air when we cross the tracks
Sipping on something from a paper sack
You hang your shirt on that maple lamp
Slipping through the moon to the river bend
Wasn't very long I was jumping in, jumping in
I guess I'm still doing now, what I was doing then
Chasing you, like a shot of whiskey
Burning going down, burning going down
Chasing you, like those goodbye taillights
Heading west to anywhere out of this no where town
Chasing that freedom, chasing that feeling that got gone too soon
Chasing that you and me, I only see in my rear view
Hell, I'm laying every night holding someone new
Still chasing you, still chasing you
You always used to talk about L.A
I heard you got as far as Santa Fe
Oh wait, you know I tried to track you down
I only got as far as guitar town
Singing about a girl I used to know, used to know better
Haven't given' up, I'm just on your radio
Chasing you, like a shot of whiskey
Burning going down, burning going down
Chasing you, like those goodbye taillights
Heading west to anywhere out of this no where town
Chasing that freedom, chasing that feeling that got gone too soon
Chasing that you and me, I only see in my rear view
Hell, I'm laying every night holding someone new
Still chasing you, still chasing you
Chasing you, like a shot of whiskey
Burning going down, burning going down
Chasing you, like those goodbye taillights
Heading west to anywhere out of this no where town
Chasing that freedom, chasing that feeling that got gone too soon
Chasing that you and me, I only see in my rear view
Hell, I'm laying every night holding someone new
Still chasing you, still chasing you
Still chasing you, still chasing you",2018
HARDY featuring Lainey Wilson,Wait In The Truck,"I got turned around in some little town
I'd never been to before
Working my way through a middle-of-June
Midnight thunderstorm
There was something in the headlights
It stopped me on a dime
Well, she was scared to death, so I said
""Climb in, "" and then she climbed
Oh, yeah
Well, she was bruised and broke from head to toe
With a tear in her blood-stained shirt
She didn't tell the whole truth, but she didn't have to
I knew what had happened to her
I didn't load her down with questions
That girl had been through enough
I just threw it in drive, looked in those eyes
And I asked her where he was
I don't know if he's an angel
'Cause angels don't do what he did
He was hellbent to find the man behind
All the whiskey scars I hid
I never thought my day of justice
Would come from a judge under a seat
But I knew right then I'd never get hit again
When he said to me
""Wait in the truck
Just wait in the truck""
Well, I knocked and knocked and no one came
So I kicked in his double-wide door
I let the hammer drop before he got
To that 12 he was reaching for
I didn't try to hide my pistol
I didn't even try to run
I just sat on the porch, smoking one of his cigarettes
And waited for the cops to come
I don't know if he's an angel
'Cause angels don't do what he did
He was hellbent to find the man behind
All the whiskey scars I hid
I never thought my day of justice
Would come from a judge under a seat
But I knew right then I'd never get hit again
When he said to me
""Wait in the truck
Just wait in the truck""
Whoa (whoa)
Have mercy on me, Lord
Have mercy on me
Have mercy on me (hey), Lord
It's been 60 months and she still comes
To see me from time to time
It was worth the price, to see a brighter side
Of the girl I picked up that night
And I might be here forever
It ain't paradise, that's true
But it's whole hell of a lot better
Than the place I sent him to, yeah
Wait in the truck (have mercy on me)
Just wait in the truck
(Have mercy, have mercy, have mercy on me)
Wait in the truck (Lord, have mercy)
Just wait in the truck
have mercy on me, Lord
Have mercy on me
(Have mercy, have mercy, have mercy on me) have mercy on me, Lord
Have mercy on me
(Have mercy, have mercy, have mercy on me) wait in the truck
Just wait in the truck
(Have mercy, have mercy, have mercy on me) wait in the truck
Just wait in the truck (please have me mercy)",2023
Luke Combs,The Kind Of Love We Make,"We've been burnin' both ends
Keepin' the lights on
So I've been thinkin' we need
A little time alone
So whatcha say we cancel our plans?
Tonight, I'm only gonna be your man
Let's get some candles burnin'
And some records turnin'
All the lights down low
Take it nice and slow
The way your body's movin'
Keep doin' what you're doin'
To me all night long
Writin' our love song
Girl, I want it, gotta have it
Let the passion take us to a higher place
Makin' the kind of love we make
Well, there ain't no way, baby
To get me out this house
When you look this good
What could I even think about? Oh
Besides turnin' round and lockin' the door
Watchin' your red dress fall to the floor
Let's get some candles burnin'
And some records turnin'
All the lights down low
Take it nice and slow
The way your body's movin'
Keep doin' what you're doin'
To me all night long
Writin' our love song
Girl, I want it, gotta have it
Let the passion take us to a higher place
Makin' the kind of love we make
Kind of love we make
So whatcha say we cancel our plans?
Tonight, I'm only gonna be your man
Let's get some candles burnin'
Some records turnin'
All the lights down low
Take it nice and slow
The way your body's movin'
Keep doin' what you're doin'
To me all night long
Writin' our love song
Girl, I want it, gotta have it
Let the passion take us to a higher place
Girl, I want it, gotta have it
Let the passion take us to a higher place
Makin' the kind of love we make
Kind of love we make
Makin' the kind of love we make",2022
Kane Brown,Like I Love Country Music,"Let's get it
Girl, you gone and done it to me
Hotter than a hoochie coochie
Got me like that first time I heard Alan Jackson Chattahoochee
I was never the same again, I'm a lifelong fan
Yes, I am
Baby, I love you like I love country music
You get me high as Willie girl
You get me gone as Jones
You turn me on as much as I turn on my radio
Let's take our time, walk the line kinda like Johnny and June did
Yeah, let's do this
Baby, I love you like I love country music
'Cause I could never live without ya
Or my favorite songs about ya
Top to bottom perfect, you're like Brooks & Dunn's debut album
You got me feeling like I'm a brand new man
Yes, I am
Baby, I love you like I love country music
You get me high as Willie, girl
You get me gone as Jones
You turn me on as much as I turn on my radio
Let's take our time, walk the line
Kinda like Johnny and June did
Yeah, let's do this
Baby, I love you like I love country music
If I was stranded on an island
Only way I could survive is
If I had you and that needle dropping on a vinyl
You get me high as Willie, girl
You get me gone as Jones
You turn me on as much as I turn on my radio
Let's take our time, walk the line
Kinda like Johnny and June did
Yeah, let's do this
Baby, I love you like I love country music
Oh, baby, I love you like I love country music
Yeah, that's right
1, 2, 1, 2, 3, woo
Baby, I love you like I love country music",2022
Merle Haggard,Swinging Doors,"This old smoke filled bar is something I'm not used to
But if gave up my home to see you satisfied
And I just called to let you know where I'll be living
It's not much but I feel welcome here inside

And I've got swinging doors a jukebox and a barstool
And my new home has got a flashing neon sign
Stop by and see me anytime you want to
Cause I'm always here at home till closing time

I've got everything I need to drive me crazy
I've got everything it takes to lose my mind
And in here the atmosphere's just right for heartaches
And thanks to you I'm always here till closing time

And I've got swinging doors a jukebox and a barstool
And my new home has got a flashing neon sign
Stop by and see me anytime you want to
Cause I'm always here at home till closing time

Yeah, I'm always here at home till closing time",1966
Willie Nelson,On The Road Again,"One two
One two three four

[Verse 1]
On the road again
Just can't wait to get on the road again
The life I love is making music with my friends
And I can't wait to get on the road again

[Verse 2]
On the road again
Goin' places that I've never been
Seein' things that I may never see again
And I can't wait to get on the road again",1980
Don Williams,Tulsa Time,"I left Oklahoma, drivin' in a Pontiac
Just about to lose my mind
I was goin' to Arizona
Maybe on to California
Where the people all live so fine
My baby said I was crazy
My mama called me lazy
I was gonna show 'em all this time
'Cause you know I ain't no foolin'
And I don't need no more schoolin'
I was born to just walk the line
Livin' on Tulsa time
Livin' on Tulsa time
Well, you know I've been through it
When I set my watch back to it
Livin' on Tulsa time
Well, there I was in Hollywood
Wishin' I was doin' good
Talkin' on the telephone line
But they don't need me in the movies
And nobody sings my songs
Guess I'm just a wastin' time
Well, then I got to thinkin'
Man, I'm really sinkin'
And I really had a flash this time
I had no business leavin'
And nobody would be grievin'
If I went on back to Tulsa time
Livin' on Tulsa time
Livin' on Tulsa time
Gonna set my watch back to it
'Cause you know I've been through it
Livin' on Tulsa time
Livin' on Tulsa time
Livin' on Tulsa time
Gonna set my watch back to it
'Cause you know I've been through
Livin' on Tulsa time",1978
