,Hot Sauce,Brand Name,Ingredients,Scoville Rating (SHU),# of Seasons,7-pot,adobo,aji,aka,amarillo,anaheim,ancho,apollo,arbol,bell,bhut jolokia,bird,calabrian,capsicum,carolina reaper,cayenne,cherry,chili,chipotle,chocolate bhutlah,datil,fatalli,fijian bongo,fresno,guajillo,habanero,hatari,jalapeno,jigsaw,manzano,pasilla,peach,pepperoncini,pepperx,piquin,primo,scorpion,scotch bonnet,serrano,sivathei,tabasco,tepin,with_chili,with_cayenne,with_habanero,totalpepperpersauce
56,High River Sauces Cheeba Gold Hot Sauce,High River Sauces,"Peaches, yellow scotch bonnet pepper, onions, distilled vinegar, fatalli peppers, water, brown sugar, mustard, garlic, lemon juice, curry powder, salt, cumin, black pepper, cilantro, family secret spices",25300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
57,High River Sauces Rogue Hot Sauce,High River Sauces,"Moruga Scorpion Peppers, Jolokia Peppers, Red Serrano Peppers, Blood Oranges, Apples, Pears, Apple Cider Vinegar, Brown Sugar, Lime Juice, Garlic and Ginger",34000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
58,High River Sauces Tears of the Sun Private Reserve Hot Sauce,High River Sauces,"Peach Ghost Scorpion pepper mash (Peach Ghost Scorpion peppers, vinegar), apple cider vinegar, mangos, papaya, orange habanero mash (orange habanero peppers, salt), peaches (peaches, water, natural flavor, sugar), pineapple (pineapple, pineapple juice), water, light brown sugar (cane sugar and molasses), lime juice, ginger root, salt, garlic, crushed red pepper",69000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4
59,Hoff & Pepper Hoff's House Sauce Hot Sauce,Hoff & Pepper,"Red Jalapeño, Habanero, Chipotle, Salt, Vinegar, Garlic",14500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
60,Hot Heads Official Revolutionary Hot Sauce,Hot Heads,"fire roasted bell pepper, apple cider vinegar, sweet onion, Trinidad scorpion pepper, red bell pepper, tomato paste, garlic, olive oil, sugar, blue agave, pink Himalayan sea salt, Sichuan & pink peppercorns, and lime juice",57000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
61,Hot N Saucy Collards N Ghost Hot Sauce,Hot N Saucy,"Collard greens, ghost peppers, extra virgin olive oil, onion, apple cider vinegar, garlic, brown sugar, salt, water",70000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,Hot N Saucy Garlic N Pepperoncini Hot Sauce,Hot N Saucy,"Pepperoncini, water, salt, vinegar, citric acid, cilantro, honey, sugar, and garlic",3900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Hot Ones Eye of the Scorpion Hot Sauce,Hot Ones,"Scorpion peppers, vinegar, canola oil, garlic, salt, and scorpion pepper powder",676000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
64,Hot Ones Fiery Chipotle Hot Sauce,Hot Ones,"Pineapple, Chipotle Peppers, Habanero, Carrot, Vinegar, Sugar, Curry Paste, Tomato Paste,Salt, Lime Juice, Ghost Pepper (dried)",15600,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
65,Hot Ones Los Calientes Barbacoa Hot Sauce,Hot Ones,"applewood smoked red jalapeno, chipotle, habanero, lime juice, agave nectar, apricot (ascorbic acid added), apple cider vinegar, apple juice, tomatillo, salt, roast garlic, garlic, onion, culantro, cumin, black pepper, celery seed",33000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
66,Hot Ones Los Calientes Hot Sauce,Hot Ones,"green serrano, applewood smoked, green serrano, orange habanero, apple cider, apricot (ascorbic acid added), apple cider vinegar, lemon juice, tomatillo, agave nectar, water, garlic, salt, toasted onion, cumin, culantro, black pepper, celery seed",36000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
67,Hot Ones Los Calientes Rojo Hot Sauce,Hot Ones,"smoked red jalapeno, habanero, apricot (ascorbic acid added), apple cider vinegar, agave nectar, lemon juice, tomatillo, water, garlic, salt, toasted onion, cumin, cilantro, black pepper, thyme, celery seed",49000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
68,Hot Ones Los Calientes Verde Hot Sauce,Hot Ones,"Green Serrano, Applewood Smoked Green Serrano, Orange Habanero, Apple Cider, Apricot, Apple Cider Vinegar, Lemon Juice, Tomatillo, Agave Nectar, Water, Garlic, Salt, Roasted Onion, Cumin, Coriander, Black Pepper, Celery seed",36000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
69,Hot Ones The Classic Chilli Maple Hot Sauce,Hot Ones,"Chili peppers, maple syrup, cider vinegar, vinegar, garlic, garlic powder, salt, black pepper, turmeric",1800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
70,Hot Ones The Classic Garlic Fresno Hot Sauce,Hot Ones,"fresno chilli pepper, water, apple cider vinegar, garlic puree (garlic and water), vinegar, kosher salt, organic dried garlic, organic turmeric, organic black pepper",1700,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
71,Hot Ones The Classic Hot Sauce,Hot Ones,"Organic chile de arbol peppers, organic apple cider vinegar, organic vinegar, water, organic garlic, kosher salt, organic turmeric",1800,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
72,Hot Ones The Last Dab Apollo Hot Sauce,Hot Ones,"The Apollo Pepper, distilled vinegar, The Apollo Pepper powder, The Apollo Pepper distillate",2000000,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Hot Ones The Last Dab Hot Sauce,Hot Ones,"PepperX, chocolate pepper X, peach pepper X, distilled vinegar, ginger root, turmeric, coriander, cumin, dry mustard",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
74,Hot Ones The Last Dab Reduxx,Hot Ones,"PepperX, Chocolate Pepper X, distilled vinegar, ginger root, turmeric, coriander, cumin, dry mustard",2000000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
75,Hot Ones The Last Dab XXX Hot Sauce,Hot Ones,"PepperX, chocolate pepper X, peach pepper X, distilled vinegar, ginger root, turmeric, coriander, cumin, dry mustard",2000000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
76,Hotter Than El Ghost Sauce,Hotter Than El,"distilled vinegar, diced tomatoes (tomatoes, tomato juice, salt), carrots, onions, garlic, ghost peppers, salt",39000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Hotter Than El Love Burns Hot Sauce,Hotter Than El,"Red 7 Pot Primo pepper mash (Red 7 Pot Primo Peppers and vinegar), Reaper pepper mash (Reaper peppers, vinegar), Trinidad Scorpion pepper mash (Trinidad Scorpion Peppers, salt), lime juice, carrots, onions, apple cider vinegar, water, garlic, carrot concentrate, ghost chile powder",101000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6
78,Howler Monkey Original Hot Sauce,Howler Monkey,"Distilled vinegar, scotch bonnet peppers, garlic, water, onions, mustard (distilled vinegar, mustard seed, salt, turmeric, spices), salt, turmeric, black pepper, cumin",600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,Humble House Ancho & Morita Hot Sauce,Humble House,"Aged Tamarind Chile Paste (Raisins, Tamarind Concentrate, Gluten-Free Soy Sauce, Balsamic Vinegar, Morita Chile, Ancho Chile, Kosher Salt) Vinegar, Cane Sugar, Fresh Garlic",450,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
80,Humble House Guajillo & Red Jalapeno Hot Sauce,Humble House,"Aged Chile Paste (Red Jalapenos, Fresh Garlic, Vinegar, Guajillo Chiles, Kosher Salt) Vinegar, Pickled Red Bell Pepper, Cane Sugar",2100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
81,Huy Fong Sriracha Sauce,Huy Fong,"Chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium bisulfite as preservatives, and xanthan gum",2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
82,Karma Sauce Burn After Eating Hot Sauce,Karma Sauce,"Brutally hot peppers, white vinegar, garlic, salt, ajwain seed, amchoor, hing powder (rice flour, gum arabic, asafoetida, turmeric), ginger extract",669000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Karma Sauce Cosmic Disco Hot Sauce,Karma Sauce,"red jalapeno, super hot blend, brown sugar, vinegar (from rice wine and apple cider), tamari (water, soybeans, salt, alcohol), orange juice, garlic, lemon juice, tomato paste, water, ghost pepper, salt, sesame oil, ginger, spices, culantro, orange zest",103000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
84,Karma Sauce Extreme Karma Hot Sauce,Karma Sauce,"Bhut Jolokia, Trinidad, Moruga Scorpion, butternut squash, apple cider vinegar, onion, sweet potato, honey, garlic, salt, ginger",56000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
85,Karma Sauce Scorpion Disco Hot Sauce,Karma Sauce,"Trinidad Scorpion, Ghost, Chocolate Habanero, 7 Pot Primo, apple cider vinegar, cane sugar, fresh lime juice, salt, garlic, spices",649000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,6
86,Lottie's Traditional Barbados Yellow Hot Pepper Sauce,Lottie's,"Water, Mustard Seed, Vinegar, Onion, Habanero, Sugar, Salt, Spices",15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
87,Lucky Dog Year of The Dog Thai Chile Pineapple Hot Sauce,Lucky Dog,"Pineapple (pinapple juice, [ascorbic acid, vitamin E and vitamin A], pineapple), Rice Vinegar, Onion, Roasted Garlic, Honey, Dried Red Chiles, Toasted Onion, Sea Salt, Agave, Lime Juice Concentrate, Ginger, Dried Garlic, Mustard Flour, Toasted Sesame Seeds",29800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mad Dog 357 Hot Sauce,Mad Dog,"Vinegar, Chile Extract, Evaporated Cane Juice, Habanero Peppers, 160000 Scoville Cayenne Peppers, Spices, and Xanthan Gum",357000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
89,Mad Dog 357 Hot Sauce - 25th Anniversary Edition,Mad Dog,"Reaper, Scorpion & Ghost peppers, red wine vinegar, white distilled vinegar, fresh chopped onions & garlic, natural sugar, fresh lime juice, Chile extract & xanthan gum",1000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4
90,Mark's Barbados Style Hot Sauce,Mark's,"Spring water, onion, fresh hot & sweet peppers, pineapple, mango, papaya, carrot, white vinegar, prepared mustard, sea salt, organic white wine vinegar, rum, organic garlic, spices",15500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Original Louisiana Hot Sauce,Louisiana Hot Sauce,"Aged Peppers, Distilled Vinegar, Salt",550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Paddy O's Potion Hot Sauce,Paddy O's,"White Vinegar, Organic Carrots, Organic Tomatoes, Red Wine Vinegar, Grapefruit Juice, Habanero, White Onion, Sunflower Seeds, Fresh Garlic, Sea Salt, Dried Arbol Pepper, Black Pepper",8800,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
93,Pain 100% Hot Sauce,Pain 100%,"Habanero Peppers, Water, Natural Pepper Flavoring, Vinegar and Spices",40600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
94,Pain Is Good Batch #218 Louisiana Style Hot Sauce,Spicin Foods,"Malt Vinegar, Habanero and Cayenne Peppers, Water, Tomato Paste, Corn Syrup, Fructose, Distilled Vinegar, Worchestershire Sauce, Spices, Garlic, Lime Concentrate, Brown Sugar, Seasoned Salt, Onion Powder, Liquid Smoke, and Salt",13000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
95,Pepper North Stargazer Hot Sauce,Pepper North,"Jalapeño peppers, Apple cider vinegar, Habanero peppers, Ghost pepper purée (peppers, salt), Sugars (maple syrup), Lime juice, Garlic, Ghost pepper flakes, Scotch bonnet pepper flakes, Chipotle pepper powder",118000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5
96,Piko Peppers Piko Riko Hot Sauce,Microsaucerie Piko Peppers,"Bell peppers, onions, vinegar, lemon juice, garlic, cane sugar, canola oil, sea salt, habanero peppers, Cayenne peppers, spices, beer (water, millet, corn, Demerara sugar, hop, yeast)",15500,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
97,Pirate's Lantern Pepper Sauce,Pirate's Lantern,"Vinegar, water, mustard (vinegar, mustard seed, mustard bran, salt, turmeric, spices) onions, salt, hot peppers, rum, horseradish, and spices",7500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Puckerbutt Chocolate Plague Hot Sauce,Puckerbutt,"chocolate bhutlah pepper mash (chocolate bhutlah pepper mash and vinegar), distilled vinegar and pepper powder",690000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Puckerbutt Pepper Company Chipotle Express Hot Sauce,Puckerbutt,"Pepper X Peppers, Honey, Apple Cider Vinegar, Lemon Juice From Concentrate, Distilled Vinegar, Kosher Salt, Chipotle Powder, Ginger.",669000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Puckerbutt Pepper Company Extra Mean Green Hot Sauce,Puckerbutt,"Hot Green Pepper Mash (green chile peppers and vinegar), distilled vinegar, onions, garlic",702000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
101,Puckerbutt Pepper Company Unique Garlique Hot Sauce,Puckerbutt,"Chili peppers, vinegar, garlic, salt, onion, onion powder, garlic powder, black pepper, Italian seasoning",642000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
102,Queen Majesty Cocoa Ghost Hot Sauce,Queen Majesty,"White vinegar, pineapple juice, ghost peppers, habanero peppers, sweet onions, garlic cloves, ginger root, dried plums, black cocoa, chipotle, pasilla, extra virgin olive oil, salt & spices",71000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
103,Queen Majesty Red Habanero and Black Coffee Hot Sauce,Queen Majesty,"Fair trade coffee-infused white vinegar, fresh red bell peppers, sweet onions, fresh red habanero peppers, raw apple cider vinegar, garlic cloves, extra virgin olive oil, ginger root, salt & spices",14000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
104,Queen Majesty Scotch Bonnet and Ginger Hot Sauce,Queen Majesty,"White vinegar, sweet onions, orange bell peppers, scotch bonnet hot peppers, lemon juice, ginger root, olive oil, salt and spices",9000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
105,Sauce Bae Skinny Habanero Hot Sauce,Sauce Bae,"Pineapple, water, white vinegar, habanero, onion, garlic, jalapeño, turmeric, salt, cumin, black pepper, ginger",2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
106,Sauce Leopard The Seventh Reaper Hot Sauce,Sauce Leopard,"Distilled white vinegar, tomato puree, grapeseed oil, jalapenos, red wine vinegar, water, organic vegetable stock (water, vegetable puree (celery, carrot), vegetable juice concentrates (celery, onion, carrot), salt, tomato paste, red bell pepper, honey, parsley, garlic, white onion, green onion, lemon juice, cilantro, Carolina Reapers, salt, oregano, spices",59000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
107,Savir Foods Jala Pepa Hot Sauce,Savir Foods,"Jalapenos, Aji Amarillo, Apple Cider Vinegar, Yellow Onions, Cilantro, Green Onions, Red Bell Pepper, Grape Seed Oil, Nutritional Yeast, Organic Dates, Himalayan Pink Salt, Dried Oregano, Garlic Powder, Roasted Cumin Seeds",4000,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
108,Seafire Gourmet Reaper Hot Sauce,Seafire Gourmet,"White Wine Vinegar, Carolina Reaper Peppers, Chipotle Peppers, Balsamic Vinegar, Shallots, Garlic, Honey, Brown Sugar, Mediterranean Sea Salt, Vitamin C",72000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109,Secret Aardvark Habanero Hot Sauce,Secret Aardvark,"Tomatoes (tomatoes and fire roasted tomatoes, tomato juice, citric acid, calcium chloride), White Wine Vinegar, Carrots, Water, Yellow Onion, Habanero Chile Pepper (habanero chile peppers, water, salt, citric acid), Mustard (distilled vinegar, water, mustard seed, salt turmeric, spices), Organic Cane Sugar, Salt, Modified Food Starch, Garlic, Sunflower Oil, Herbs and Spices",5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
110,Seed Ranch Flavor Co. Hot Thai Green Hot Sauce,Seed Ranch Flavor Co.,"Organic white vinegar, water, organic lime juice, Thai ginger, organic serrano pepper, organic green Carolina Reaper pepper, organic garlic, organic cilantro, shallots, lemongrass, organic basil, salt, organic coconut flakes, organic coconut sugar, organic coriander, organic cumin, organic white pepper",74000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
111,Señor Lechuga .718 Hot Sauce,Señor Lechuga,"Vinegar, ghost peppers, red bell peppers, guajillo peppers, pasilla peppers, red onion, Himalayan sea salt, garlic, black lime, sweet paprika, royal cinnamon, buffalo ginger",67000,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
112,Shaquanda's Banjee Ranch Hot Sauce,Shaquanda's,"White distilled vinegar, water, tahini (ground sesame seeds), onion, sugar, onion powder, black pepper, garlic powder, salt, dill, celery seed, chives, heirloom smoked Sivathei chili",6200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
113,Shaquanda's Hot Pepper Sauce,Shaquanda's,"Onion, White Distilled Vinegar, Chili Pepper, Roasted Red Pepper (Red Pepper, Red Wine Vinegar, Grape Must), Lemon Juice, Sugar, Salt, Mustard Powder, Turmeric, Smoked Paprika Powder",10100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
114,Shaquanda’s West Indian Curry Hot Sauce,Shaquanda's,"Onion, water, vinegar, scotch bonnet chili pepper, Shaquanda's Curry Powder Blend (turmeric, spices, mustard seed, dried ginger, cayenne pepper, cinnamon, black pepper, allspice, bay leaf, dried thyme), sugar, salt",14000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3
115,Sinai Gourmet Tropiqanté Hot Sauce,Sinai Gourmet,"Banana, mango, papaya, pineapple, Scotch bonnet, apple cider vinegar, lime juice, garlic, spices, sea salt",4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
116,Small Axe Peppers Habanero Mango Hot Sauce,Small Axe Peppers,"Apple Cider Vinegar, Habanero Peppers, Sugar, Garlic, Onion, Mango Puree, Blood Orange Juice Puree, Tamarind Paste, Salt",22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
117,Small Axe Peppers The Bronx Greenmarket Hot Sauce,Small Axe Peppers,"Apple Cider Vinegar, Serrano Peppers, Garlic, Onion, Sugar, Salt",5500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,Small Axe Peppers The Chicago Red Hot Jalapeno Hot Sauce,Small Axe Peppers,"Apple cider vinegar, jalapenos, onions, tomatoes, brown sugar, yellow mustard, dill, celery salt",2800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Steel City Sauce Co Jade Jaguar Hot Sauce,Steel City Sauce Co,"jalapeño, vinegar, onion, garlic, olive oil, vegetable oil,lime juice, salt, cilantro",3600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,Tabasco Sauce,Tabasco,"mashed tabasco peppers aged in white oak barrels, a small amount of salt and high quality vinegar",4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
121,Tapatío Hot Sauce,Tapatío,"WATER, RED PEPPERS, SALT, SPICES, GARLIC, ACETIC ACID, XANTHAN GUM. SODIUM BENZOATE",3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
