Hot Sauce,Scoville Rating (SHU),Order Served,Season
Hot Ones The Last Dab XXX Hot Sauce,2000000,10,11
Hot Ones The Classic Garlic Fresno Hot Sauce,1700,1,12
Steel City Sauce Co Jade Jaguar Hot Sauce,3600,2,12
Fresno Sauce Company Chipotle & Habanero Hot Sauce,12400,3,12
Hotter Than El Ghost Sauce,39000,4,12
Hot Ones Los Calientes Rojo Hot Sauce,49000,5,12
Seafire Gourmet Reaper Hot Sauce,72000,6,12
Volcanic Peppers Thor's Hammer Super Hot Sauce,121000,7,12
Da' Bomb Beyond Insanity Hot Sauce,135600,8,12
Chile Monoloco Pierde Almas Hot Sauce,665000,9,12
Hot Ones The Last Dab XXX Hot Sauce,2000000,10,12
Hot Ones The Classic Garlic Fresno Hot Sauce,1700,1,13
Dawson’s Shawarma Sauce,4200,2,13
Shaquanda’s West Indian Curry Hot Sauce,14000,3,13
Angry Goat Pepper Co. Goat Rider Hot Sauce,43500,4,13
Hot Ones Los Calientes Rojo Hot Sauce,49000,5,13
Heartbeat Hot Sauce Scorpion Hot Sauce,66000,6,13
Hellfire Detroit Bourbon Habanero Ghost Hot Sauce,89000,7,13
Da' Bomb Beyond Insanity Hot Sauce,135600,8,13
Puckerbutt Pepper Company Chipotle Express Hot Sauce,669000,9,13
Hot Ones The Last Dab Apollo Hot Sauce,2000000,10,13
Hot Ones The Classic Hot Sauce,1800,1,14
Hot N Saucy Garlic N Pepperoncini Hot Sauce,3900,2,14
Mark's Barbados Style Hot Sauce,15500,3,14
Hellfire Devil's Blend Hot Sauce,42000,4,14
Hot Ones Los Calientes Rojo Hot Sauce,49000,5,14
High River Sauces Tears of the Sun Private Reserve Hot Sauce,69000,6,14
Torchbearer Sauces Honey Badger Hot Sauce,99000,7,14
Da' Bomb Beyond Insanity Hot Sauce,135600,8,14
Hot Ones Eye of the Scorpion Hot Sauce,676000,9,14
Hot Ones The Last Dab Apollo Hot Sauce,2000000,10,14
Hot Ones The Classic Hot Sauce,1800,1,15
Savir Foods Jala Pepa Hot Sauce,4000,2,15
Cantina Royal Tomasa Spicy Habanero & Manzano Chile Hot Sauce,18000,3,15
Hot Ones Los Calientes Barbacoa Hot Sauce,33000,4,15
The Original Goat Ginger Goat Hot Sauce,55000,5,15
High Desert Sauce Co. Tikk-Hot Masala Hot Sauce,72000,6,15
Hotter Than El Love Burns Hot Sauce,101000,7,15
Da' Bomb Beyond Insanity Hot Sauce,135600,8,15
Karma Sauce Scorpion Disco Hot Sauce,649000,9,15
Hot Ones The Last Dab Apollo Hot Sauce,2000000,10,15
Hot Ones The Classic Hot Sauce,1700,1,16
Yellowbird Bliss & Vinegar Hot Sauce,6200,2,16
Hoff & Pepper Hoff's House Sauce Hot Sauce,14500,3,16
Hot Ones Los Calientes Verde Hot Sauce,36000,4,16
Hot Heads Official Revolutionary Hot Sauce,57000,5,16
Señor Lechuga .718 Hot Sauce,67000,6,16
Chile Lengua De Fuego Bhutila Fire Hot Sauce,118000,7,16
Da' Bomb Beyond Insanity Hot Sauce,135600,8,16
Hellfire Hot Sauce Kranked Hot Sauce,699000,9,16
Hot Ones The Last Dab Apollo Hot Sauce,2000000,10,16
Hot Ones The Classic Hot Sauce,1800,1,17
Dawson's Cedar Smoked Garlic Hot Sauce,7000,2,17
Clark & Hopkins Calabria Hot Sauce,15700,3,17
Angry Goat Pepper Co. The Phoenix Hot Sauce,39000,4,17
Hot Ones Los Calientes Rojo Hot Sauce,49000,5,17
Queen Majesty Cocoa Ghost Hot Sauce,71000,6,17
13 Angry Scorpions Jekyll & Hyde Scorpion Chipotle Hot Sauce,109000,7,17
Da' Bomb Beyond Insanity Hot Sauce,135600,8,17
Puckerbutt Pepper Company Extra Mean Green Hot Sauce,702000,9,17
Hot Ones The Last Dab Apollo Hot Sauce,2000000,10,17
Hot Ones The Classic Garlic Fresno Hot Sauce,1800,1,18
Adoboloco Island Wings Hot Sauce,5500,2,18
Burns & McCoy Mezcaline Oaxacan Hot Sauce,16600,3,18
Hot Ones Los Calientes Verde Hot Sauce,36000,4,18
Sauce Leopard The Seventh Reaper Hot Sauce,59000,5,18
Hot N Saucy Collards N Ghost Hot Sauce,70000,6,18
Halogi Hot Sauce Tyrfing's Curse Hot Sauce,99000,7,18
Da' Bomb Beyond Insanity Hot Sauce,135600,8,18
Dingo Sauce Co. Psycho Hot Sauce,666000,9,18
Hot Ones The Last Dab Apollo Hot Sauce,2500000,10,18
Hot Ones The Classic Chilli Maple Hot Sauce,1800,1,19
Sinai Gourmet Tropiqanté Hot Sauce,4000,2,19
Piko Peppers Piko Riko Hot Sauce,15500,3,19
Hot Ones Los Calientes Barbacoa Hot Sauce,33000,4,19
Fly By Jing Sichuan Gold Hot Sauce,46000,5,19
Chile Lengua De Fuego Turmeric Bomb Hot Sauce,69000,6,19
Karma Sauce Cosmic Disco Hot Sauce,103000,7,19
Da' Bomb Beyond Insanity Hot Sauce,135600,8,19
Puckerbutt Pepper Company Unique Garlique Hot Sauce,642000,9,19
Hot Ones The Last Dab Apollo Hot Sauce,2000000,10,19
Hot Ones The Classic Chilli Maple Hot Sauce,1600,1,20
Shaquanda's Banjee Ranch Hot Sauce,6200,2,20
The Donis Cadejo Hot Sauce,15000,3,20
Hot Ones Los Calientes Verde Hot Sauce,36000,4,20
Brooklyn Delhi Ghost Pepper Hot Sauce,39000,5,20
Torchbearer Sauces Mushroom Mayhem Hot Sauce,68000,6,20
Angry Goat Dreams of Calypso Hot Sauce,101000,7,20
Da' Bomb Beyond Insanity Hot Sauce,135600,8,20
Butterfly Bakery of Vermont Taco Vibes Only Hot Sauce,638000,9,20
Hot Ones The Last Dab Apollo Hot Sauce,2000000,10,20
